sys_updated_by,department,start_date,target_percentage,category,priority,state,metric,end_date,owner,percent_complete,sys_id,description,contains_keywords,goal_met
admin,Finance,2022-01-31,89,Efficiency,Medium,Planned,Survey Score,2022-04-04,user079,51.0,G000000,Optimize IT support workflows to decrease ticket resolution time by 30% within the next quarter.,0,False
admin,Marketing,2022-07-24,84,Cost Reduction,Low,Cancelled,Survey Score,2023-05-06,user080,69.12163690547594,G000001,Reduce overhead expenses by optimizing supplier contracts and utility management to achieve a reduction of at least 20% from the previous fiscal year's figures.,1,False
admin,Finance,2022-02-07,88,Revenue Growth,Low,Planned,Sales Increase,2022-06-10,user098,59.0,G000002,Increase annual revenue by 20% through expansion of digital sales channels and enhanced marketing strategies targeting new demographics.,0,False
admin,Marketing,2022-03-15,77,Revenue Growth,Medium,In Progress,Sales Increase,2022-07-14,user051,38.9122237972055,G000003,Strategize to increase annual subscription revenue by 20% through improved customer retention and acquisition campaigns.,1,False
admin,Finance,2022-06-30,77,Cost Reduction,Low,In Progress,Survey Score,2023-03-29,user020,77.24506549557182,G000004,"Reduce operational expenses by optimizing energy usage, aiming for a 20% cost savings by the end of the fiscal year.",1,True
admin,Marketing,2022-03-07,54,Cost Reduction,High,In Progress,Sales Increase,2022-09-26,user000,17.701163102785834,G000005,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% decrease in total energy costs by the end of the fiscal year.",1,False
admin,Marketing,2022-02-22,74,Efficiency,Critical,Planned,Expense Ratio,2022-06-26,user007,51.0,G000006,Optimize IT support workflow to achieve a 20% decrease in average ticket resolution time by the end of Q2.,0,False
admin,IT,2022-12-11,84,Employee Satisfaction,Medium,In Progress,Survey Score,2023-04-17,user088,82.57979362261095,G000007,"Develop and conduct quarterly employee satisfaction surveys to identify improvement areas, aiming to boost overall satisfaction scores by 20% within the next fiscal year.",1,False
admin,IT,2022-08-14,79,Employee Satisfaction,Critical,In Progress,Survey Score,2022-10-17,user028,45.48328751635138,G000008,Launch a quarterly employee feedback survey to identify areas for improvement in work-life balance and overall job satisfaction.,1,False
admin,Finance,2022-05-17,61,Customer Satisfaction,Low,Planned,Sales Increase,2022-08-12,user028,45.0,G000009,Increase customer satisfaction scores by 10% by improving response times and offering personalized support solutions.,0,False
admin,Finance,2022-07-09,96,Cost Reduction,High,In Progress,Employee Turnover Rate,2023-04-12,user043,15.0,G000010,"Optimize IT asset management to cut technology expenditure by 20%, aiming to save at least $150,000 in the next fiscal year.",0,False
admin,IT,2022-10-25,63,Employee Satisfaction,Medium,In Progress,Employee Turnover Rate,2023-02-22,user094,47.6950103607149,G000011,Develop and launch an annual employee satisfaction survey to improve workplace environment ratings by at least 20% over the next fiscal year.,1,False
admin,IT,2022-03-17,67,Cost Reduction,Low,Completed,Expense Ratio,2022-10-12,user035,83.0,G000012,Optimize supply chain logistics to achieve at least a 20% reduction in transportation expenses within the next fiscal year.,0,True
admin,Finance,2022-07-24,70,Customer Satisfaction,High,In Progress,Survey Score,2022-09-09,user003,76.5505395124903,G000013,"Enhance the customer support portal to improve user experience, aiming to increase satisfaction scores by at least 20% in the upcoming quarter.",1,True
admin,Marketing,2022-07-23,57,Cost Reduction,Medium,In Progress,Sales Increase,2023-05-04,user031,21.0,G000014,Introduce automation in invoice processing to cut operational costs by 20% within the next fiscal year.,0,False
admin,HR,2022-06-11,95,Customer Satisfaction,Critical,In Progress,Employee Turnover Rate,2022-08-24,user070,98.7773928345589,G000015,Enhance the customer support chat system to improve resolution times and increase customer satisfaction ratings by 20% by the end of Q4.,1,True
admin,IT,2022-04-02,58,Customer Satisfaction,Critical,In Progress,Survey Score,2022-06-20,user078,9.0,G000016,Develop a new customer feedback system to increase satisfaction ratings by 20% over the next quarter.,0,False
admin,Finance,2022-11-22,90,Efficiency,High,Cancelled,Sales Increase,2023-01-13,user096,98.64822287566025,G000017,Optimize the use of digital tools to reduce the average process turnaround time by 30% within the next fiscal quarter.,1,True
admin,Finance,2022-02-16,99,Cost Reduction,Critical,In Progress,Employee Turnover Rate,2022-08-26,user003,21.0,G000018,Optimize IT infrastructure management to achieve a 20% reduction in operational costs over the next fiscal year.,0,False
admin,Marketing,2022-04-27,98,Efficiency,Critical,In Progress,Survey Score,2022-08-15,user001,76.9933379728875,G000019,"Enhance the existing workflow system to reduce the average processing time for customer service tickets by 30%, aiming to improve handling from 24 hours to under 17 hours.",1,False
admin,IT,2022-05-26,89,Employee Satisfaction,Critical,In Progress,Expense Ratio,2022-07-16,user096,17.643460592924978,G000020,"Increase employee satisfaction by enhancing workplace environment and introducing flexible working hours, aiming for a 20% improvement in the annual employee satisfaction survey results.",1,False
admin,Finance,2022-09-19,80,Cost Reduction,High,In Progress,Employee Turnover Rate,2023-08-05,user054,42.42295937147029,G000021,"Reduce overhead expenses by optimizing the use of office resources, targeting a 20% cost saving within the next financial quarter.",1,False
admin,Marketing,2022-05-03,89,Cost Reduction,Critical,In Progress,Sales Increase,2022-12-26,user030,88.0,G000022,"Develop automation in invoice processing to cut administrative expenses by 20%, aiming to save at least $50,000 annually.",0,False
admin,Finance,2022-04-21,62,Cost Reduction,Critical,Completed,Survey Score,2022-12-07,user067,90.79305827889888,G000023,"Reduce overall IT spending by optimizing software licensing agreements and reducing redundant technology tools, aiming for a 20% cost savings by Q4.",1,True
admin,Finance,2022-10-26,91,Cost Reduction,Medium,Completed,Survey Score,2023-10-03,user048,100.0,G000024,Reduce overall IT spending by consolidating vendor contracts and achieving a cost saving of 20% over the next fiscal year.,1,True
admin,Finance,2022-01-13,84,Cost Reduction,Critical,In Progress,Survey Score,2022-07-03,user014,35.075861711390274,G000025,"Reduce overall software licensing costs by optimizing license allocation and eliminating unnecessary expenditures, targeting a 20% savings amounting to approximately $50K annually.",1,False
admin,Finance,2022-10-11,56,Customer Satisfaction,High,In Progress,Expense Ratio,2023-02-17,user026,16.0,G000026,Develop a new customer feedback system to increase overall satisfaction ratings by 20% within the next financial quarter.,0,False
admin,IT,2022-04-21,78,Employee Satisfaction,Critical,In Progress,Sales Increase,2022-06-06,user080,67.0,G000027,"Increase employee satisfaction ratings by promoting work-life balance, optimizing work environments, and enhancing internal communication effectiveness based on annual survey feedback.",0,False
admin,IT,2022-02-05,73,Cost Reduction,Low,In Progress,Survey Score,2022-08-09,user030,58.21303257444529,G000028,Reduce overall IT infrastructure expenditure by 20% through the adoption of cloud-based services and renegotiating vendor contracts.,1,False
admin,Marketing,2022-10-11,97,Customer Satisfaction,Low,In Progress,Employee Turnover Rate,2023-02-02,user075,45.0,G000029,Develop a new customer feedback system to increase satisfaction ratings by 20% over the next fiscal year.,0,False
admin,HR,2022-03-15,73,Efficiency,Medium,In Progress,Expense Ratio,2022-05-18,user021,27.0,G000030,"Optimize the IT helpdesk response time by introducing automation in ticket sorting, aiming to enhance operational efficiency by 20% within the next quarter.",0,False
admin,HR,2022-05-31,98,Customer Satisfaction,Low,In Progress,Employee Turnover Rate,2022-09-03,user016,100.0,G000031,Develop a new customer feedback system to improve overall satisfaction ratings by 20% in the upcoming fiscal year.,1,True
admin,Finance,2022-07-15,54,Cost Reduction,Critical,Completed,Employee Turnover Rate,2023-04-22,user078,95.0,G000032,Achieve a 10% reduction in operational expenses by optimizing energy usage and renegotiating supplier contracts within the next fiscal year.,0,True
admin,Finance,2022-03-29,80,Customer Satisfaction,High,Completed,Expense Ratio,2022-08-01,user031,100.0,G000033,Enhance the customer support portal to improve the satisfaction rating by 20% over the next fiscal year.,1,True
admin,Finance,2022-07-26,73,Cost Reduction,Low,Completed,Employee Turnover Rate,2023-05-09,user039,100.0,G000034,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% reduction in energy costs over the next fiscal year.",1,True
admin,IT,2022-02-01,83,Cost Reduction,Medium,In Progress,Employee Turnover Rate,2022-08-02,user060,28.0,G000035,Achieve a 20% decrease in IT operational expenses by optimizing software licensing and eliminating redundant cloud storage.,0,False
