type,state,source_id,number,opened_at,category,short_description,ci
,Processed,JPQ-84611536,EXP00000000,2024-03-26 09:16:00,Assets,Oracle database system server,Oracle-Server-231
,Processed,AJB-64072076,EXP00000001,2023-11-08 01:38:00,Services,Automated service line for creating new asset,ServiceNow Cloud Services
,Processed,VLM-63219520,EXP00000002,2024-02-29 04:23:00,Services,Service-related hardware asset generation,Cloud Server
,Processed,,EXP00000003,2023-11-16 04:33:00,Travel,Automatically generated expense line for creation of travel asset,Business Class Flight Tickets
,Processed,,EXP00000004,2023-04-29 05:12:00,Travel,Travel related asset expense generation,Toshiba Satellite Pro
,Processed,RSL-50200569,EXP00000005,2023-07-05 13:32:00,Services,Automated service asset,Web Hosting Server
,Declined,QFR-84624563,EXP00000006,2024-01-20 01:04:00,Services,Automatic service registration for asset,Service Server Cluster 42
,Processed,,EXP00000007,2024-03-18 08:34:00,Travel,Travel-related asset expense,Travel Laptop Lenovo ThinkPad E14
,Processed,EQR-38857130,EXP00000008,2023-07-19 23:10:00,Assets,Automatically generated asset line for creation of hardware,Dell Latitude 7400
,Pending,SLL-65786392,EXP00000009,2023-05-30 12:56:00,Services,Automatically generated asset creation for service,Cloud Server Service
,Processed,,EXP00000010,2023-07-24 09:11:00,Miscellaneous,Entry of Miscellaneous Asset,Desk Lamp LED
,Processed,,EXP00000011,2023-08-26 03:01:00,Miscellaneous,Miscellaneous hardware configuration item,Dell Precision 3540
,Pending,,EXP00000012,2023-12-19 00:29:00,Travel,Hardware asset for business travel,Lenovo ThinkPad X1 Carbon
,Processed,ECQ-38179048,EXP00000013,2024-03-22 06:54:00,Services,Provision of cloud-based services,AWS EC2 Instance
,Processed,GWZ-24618782,EXP00000014,2023-08-27 15:56:00,Services,Automatically generated service line for ServiceNow Cloud Instances,Service Instance - Cloud Instance 1
,Pending,,EXP00000015,2023-04-17 20:15:00,Travel,Travel related hardware allocation,Samsung Tab A7
,Processed,SSN-16549605,EXP00000016,2023-08-19 22:35:00,Services,Service related hardware asset,Server Hosting
,Processed,XIG-87440818,EXP00000017,2023-07-30 13:29:00,Assets,Procurement of company asset,Dell Latitude 5510
,Processed,,EXP00000018,2024-03-31 02:42:00,Miscellaneous,Purchase of miscellaneous hardware asset,Wireless Mouse Model 202
