sys_updated_by,target_percentage,category,priority,state,metric,owner,percent_complete,sys_id,description,goal_met
admin,89,Efficiency,Medium,Planned,Survey Score,user079,51.0,G000000,Optimize IT support workflows to decrease ticket resolution time by 30% within the next quarter.,False
admin,84,Cost Reduction,Low,Cancelled,Survey Score,user080,69.12163690547594,G000001,Reduce overhead expenses by optimizing supplier contracts and utility management to achieve a reduction of at least 20% from the previous fiscal year's figures.,False
admin,88,Revenue Growth,Low,Planned,Sales Increase,user098,59.0,G000002,Increase annual revenue by 20% through expansion of digital sales channels and enhanced marketing strategies targeting new demographics.,False
admin,77,Revenue Growth,Medium,In Progress,Sales Increase,user051,38.9122237972055,G000003,Strategize to increase annual subscription revenue by 20% through improved customer retention and acquisition campaigns.,False
admin,77,Cost Reduction,Low,In Progress,Survey Score,user020,77.24506549557182,G000004,"Reduce operational expenses by optimizing energy usage, aiming for a 20% cost savings by the end of the fiscal year.",True
admin,54,Cost Reduction,High,In Progress,Sales Increase,user000,17.701163102785834,G000005,"Reduce operational expenses by optimizing energy usage across all company facilities, aiming for a 20% decrease in total energy costs by the end of the fiscal year.",False
admin,74,Efficiency,Critical,Planned,Expense Ratio,user007,51.0,G000006,Optimize IT support workflow to achieve a 20% decrease in average ticket resolution time by the end of Q2.,False
admin,84,Employee Satisfaction,Medium,In Progress,Survey Score,user088,82.57979362261095,G000007,"Develop and conduct quarterly employee satisfaction surveys to identify improvement areas, aiming to boost overall satisfaction scores by 20% within the next fiscal year.",False
admin,79,Employee Satisfaction,Critical,In Progress,Survey Score,user028,45.48328751635138,G000008,Launch a quarterly employee feedback survey to identify areas for improvement in work-life balance and overall job satisfaction.,False
admin,61,Customer Satisfaction,Low,Planned,Sales Increase,user028,45.0,G000009,Increase customer satisfaction scores by 10% by improving response times and offering personalized support solutions.,False
admin,96,Cost Reduction,High,In Progress,Employee Turnover Rate,user043,15.0,G000010,"Optimize IT asset management to cut technology expenditure by 20%, aiming to save at least $150,000 in the next fiscal year.",False
admin,63,Employee Satisfaction,Medium,In Progress,Employee Turnover Rate,user094,47.6950103607149,G000011,Develop and launch an annual employee satisfaction survey to improve workplace environment ratings by at least 20% over the next fiscal year.,False
admin,67,Cost Reduction,Low,Completed,Expense Ratio,user035,83.0,G000012,Optimize supply chain logistics to achieve at least a 20% reduction in transportation expenses within the next fiscal year.,True
admin,70,Customer Satisfaction,High,In Progress,Survey Score,user003,76.5505395124903,G000013,"Enhance the customer support portal to improve user experience, aiming to increase satisfaction scores by at least 20% in the upcoming quarter.",True
admin,57,Cost Reduction,Medium,In Progress,Sales Increase,user031,21.0,G000014,Introduce automation in invoice processing to cut operational costs by 20% within the next fiscal year.,False
admin,95,Customer Satisfaction,Critical,In Progress,Employee Turnover Rate,user070,98.7773928345589,G000015,Enhance the customer support chat system to improve resolution times and increase customer satisfaction ratings by 20% by the end of Q4.,True
admin,58,Customer Satisfaction,Critical,In Progress,Survey Score,user078,9.0,G000016,Develop a new customer feedback system to increase satisfaction ratings by 20% over the next quarter.,False
admin,90,Efficiency,High,Cancelled,Sales Increase,user096,98.64822287566025,G000017,Optimize the use of digital tools to reduce the average process turnaround time by 30% within the next fiscal quarter.,True
admin,99,Cost Reduction,Critical,In Progress,Employee Turnover Rate,user003,21.0,G000018,Optimize IT infrastructure management to achieve a 20% reduction in operational costs over the next fiscal year.,False
admin,98,Efficiency,Critical,In Progress,Survey Score,user001,76.9933379728875,G000019,"Enhance the existing workflow system to reduce the average processing time for customer service tickets by 30%, aiming to improve handling from 24 hours to under 17 hours.",False
admin,89,Employee Satisfaction,Critical,In Progress,Expense Ratio,user096,17.643460592924978,G000020,"Increase employee satisfaction by enhancing workplace environment and introducing flexible working hours, aiming for a 20% improvement in the annual employee satisfaction survey results.",False
admin,80,Cost Reduction,High,In Progress,Employee Turnover Rate,user054,42.42295937147029,G000021,"Reduce overhead expenses by optimizing the use of office resources, targeting a 20% cost saving within the next financial quarter.",False
admin,89,Cost Reduction,Critical,In Progress,Sales Increase,user030,88.0,G000022,"Develop automation in invoice processing to cut administrative expenses by 20%, aiming to save at least $50,000 annually.",False
